Model,Test RMSE,Test MAE,Test R2,Test MAPE,CV RMSE,Train Time (s),Inference (ms),Overfitting
Gradient Boosting,40.83576053932384,25.312497500561186,0.8937357240702014,51.70665385207784,43.76229956804035,54.48505711555481,0.03003056844075521,0.05804601998882619
Random Forest,48.99023722732786,32.29723899736545,0.8470585950564039,70.87643235872244,51.895027894217414,39.47091722488403,0.052828470865885414,0.12949012218595957
Ridge Regression,84.13651111199287,65.72471487299778,0.5488977546628241,201.51476608336694,83.63957837560218,0.10177421569824219,0.00048351287841796875,0.00441021289022836
